season,division,datetime,datetimeUTC,matchday,homeID,homeName,homeIcon,guestID,guestName,guestIcon,homeScore,guestScore,locID,locCity,locStadium
2018,bl1,2018-08-24 20:30:00,2018-08-24 18:30:00+00:00,1,40,FC Bayern München,https://i.imgur.com/jJEsJrj.png,175,TSG 1899 Hoffenheim,https://i.imgur.com/gF0PfEl.png,1,0,34,München,Allianz Arena
2018,bl1,2018-08-25 15:30:00,2018-08-25 13:30:00+00:00,1,54,Hertha BSC,https://i.imgur.com/apFwbYZ.png,79,1. FC Nürnberg,https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_Nürnberg_logo.svg,1,0,22,Berlin,Olympiastadion
2018,bl1,2018-08-25 15:30:00,2018-08-25 13:30:00+00:00,1,134,Werder Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png,55,Hannover 96,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg,0,0,36,Bremen,Weserstadion
2018,bl1,2018-08-25 15:30:00,2018-08-25 13:30:00+00:00,1,112,SC Freiburg,https://i.imgur.com/r3mvi0h.png,91,Eintracht Frankfurt,https://i.imgur.com/X8NFkOb.png,0,1,966,Freiburg,Schwarzwald-Stadion
2018,bl1,2018-08-25 15:30:00,2018-08-25 13:30:00+00:00,1,131,VfL Wolfsburg,https://i.imgur.com/ucqKV4B.png,9,FC Schalke 04,https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg,1,0,20,Wolfsburg,Volkswagen Arena 
2018,bl1,2018-08-25 15:30:00,2018-08-25 13:30:00+00:00,1,185,Fortuna Düsseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,95,FC Augsburg,https://i.imgur.com/sdE62e2.png,1,0,53,Düsseldorf,ESPRIT Arena
2018,bl1,2018-08-25 18:30:00,2018-08-25 16:30:00+00:00,1,87,Borussia Mönchengladbach,https://i.imgur.com/KSIk0Eu.png,6,Bayer Leverkusen,https://upload.wikimedia.org/wikipedia/de/thumb/f/f7/Bayer_Leverkusen_Logo.svg/1200px-Bayer_Leverkusen_Logo.svg.png,0,0,32,Mönchengladbach,Borussia Park
2018,bl1,2018-08-26 15:30:00,2018-08-26 13:30:00+00:00,1,81,1. FSV Mainz 05,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1200px-Logo_Mainz_05.svg.png,16,VfB Stuttgart,https://i.imgur.com/v0tkpNx.png,0,0,429,Mainz,Coface-Arena
2018,bl1,2018-08-26 18:00:00,2018-08-26 16:00:00+00:00,1,7,Borussia Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,1635,RB Leipzig,https://i.imgur.com/Rpwsjz1.png,3,1,35,Dortmund,Signal Iduna Park
2018,bl1,2018-08-31 20:30:00,2018-08-31 18:30:00+00:00,2,55,Hannover 96,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg,7,Borussia Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,0,0,845,Hannover,HDI Arena
2018,bl1,2018-09-01 15:30:00,2018-09-01 13:30:00+00:00,2,175,TSG 1899 Hoffenheim,https://i.imgur.com/gF0PfEl.png,112,SC Freiburg,https://i.imgur.com/r3mvi0h.png,0,1,24,Sinsheim,Rhein Neckar Arena
2018,bl1,2018-09-01 15:30:00,2018-09-01 13:30:00+00:00,2,6,Bayer Leverkusen,https://upload.wikimedia.org/wikipedia/de/thumb/f/f7/Bayer_Leverkusen_Logo.svg/1200px-Bayer_Leverkusen_Logo.svg.png,131,VfL Wolfsburg,https://i.imgur.com/ucqKV4B.png,1,1,28,Leverkusen,BayArena
2018,bl1,2018-09-01 15:30:00,2018-09-01 13:30:00+00:00,2,91,Eintracht Frankfurt,https://i.imgur.com/X8NFkOb.png,134,Werder Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png,0,1,30,Frankfurt,Commerzbank Arena
2018,bl1,2018-09-01 15:30:00,2018-09-01 13:30:00+00:00,2,95,FC Augsburg,https://i.imgur.com/sdE62e2.png,87,Borussia Mönchengladbach,https://i.imgur.com/KSIk0Eu.png,1,0,1029,Augsburg,WWK Arena
2018,bl1,2018-09-01 15:30:00,2018-09-01 13:30:00+00:00,2,79,1. FC Nürnberg,https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_Nürnberg_logo.svg,81,1. FSV Mainz 05,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1200px-Logo_Mainz_05.svg.png,0,1,1111,Nürnberg,Max-Morlock-Stadion
2018,bl1,2018-09-01 18:30:00,2018-09-01 16:30:00+00:00,2,16,VfB Stuttgart,https://i.imgur.com/v0tkpNx.png,40,FC Bayern München,https://i.imgur.com/jJEsJrj.png,0,1,37,Stuttgart,Mercedes Benz Arena 
2018,bl1,2018-09-02 15:30:00,2018-09-02 13:30:00+00:00,2,1635,RB Leipzig,https://i.imgur.com/Rpwsjz1.png,185,Fortuna Düsseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,0,0,478,Leipzig,Red Bull Arena
2018,bl1,2018-09-02 18:00:00,2018-09-02 16:00:00+00:00,2,9,FC Schalke 04,https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg,54,Hertha BSC,https://i.imgur.com/apFwbYZ.png,0,1,983,Schalke, Veltins Arena
2018,bl1,2018-09-14 20:30:00,2018-09-14 18:30:00+00:00,3,7,Borussia Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,91,Eintracht Frankfurt,https://i.imgur.com/X8NFkOb.png,1,0,35,Dortmund,Signal Iduna Park
