season,division,datetime,datetimeUTC,matchday,homeID,homeName,homeIcon,guestID,guestName,guestIcon,homeScore,guestScore,locID,locCity,locStadium
2020,bl1,2020-09-18 20:30:00,2020-09-18 18:30:00+00:00,1,40,FC Bayern München,https://i.imgur.com/jJEsJrj.png,9,FC Schalke 04,https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg,8,0,34,München,Allianz Arena
2020,bl1,2020-09-19 15:30:00,2020-09-19 13:30:00+00:00,1,91,Eintracht Frankfurt,https://i.imgur.com/X8NFkOb.png,83,Arminia Bielefeld,https://upload.wikimedia.org/wikipedia/de/thumb/e/e5/Logo_Arminia_Bielefeld.svg/2000px-Logo_Arminia_Bielefeld.svg.png,1,1,442,Frankfurt,Commerzbank-Arema
2020,bl1,2020-09-19 15:30:00,2020-09-19 13:30:00+00:00,1,65,1. FC Köln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,175,TSG 1899 Hoffenheim,https://i.imgur.com/gF0PfEl.png,2,3,31,Köln,Rhein Energie Stadion 
2020,bl1,2020-09-19 15:30:00,2020-09-19 13:30:00+00:00,1,16,VfB Stuttgart,https://i.imgur.com/v0tkpNx.png,112,SC Freiburg,https://i.imgur.com/r3mvi0h.png,2,3,493,Stuttgart,Mercedes-Benz Arena
2020,bl1,2020-09-19 15:30:00,2020-09-19 13:30:00+00:00,1,80,1. FC Union Berlin,https://upload.wikimedia.org/wikipedia/commons/4/44/1._FC_Union_Berlin_Logo.svg,95,FC Augsburg,https://i.imgur.com/sdE62e2.png,1,3,80,Berlin,alter Försterei
2020,bl1,2020-09-19 15:30:00,2020-09-19 13:30:00+00:00,1,134,Werder Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png,54,Hertha BSC,https://i.imgur.com/apFwbYZ.png,1,4,36,Bremen,Weserstadion
2020,bl1,2020-09-19 18:30:00,2020-09-19 16:30:00+00:00,1,7,Borussia Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,87,Borussia Mönchengladbach,https://i.imgur.com/KSIk0Eu.png,3,0,184,Dortmund,Signal-Iduna-Park
2020,bl1,2020-09-20 15:30:00,2020-09-20 13:30:00+00:00,1,1635,RB Leipzig,https://i.imgur.com/Rpwsjz1.png,81,1. FSV Mainz 05,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1200px-Logo_Mainz_05.svg.png,3,1,478,Leipzig,Red Bull Arena
2020,bl1,2020-09-20 18:00:00,2020-09-20 16:00:00+00:00,1,131,VfL Wolfsburg,https://i.imgur.com/ucqKV4B.png,6,Bayer Leverkusen,https://upload.wikimedia.org/wikipedia/de/thumb/f/f7/Bayer_Leverkusen_Logo.svg/1200px-Bayer_Leverkusen_Logo.svg.png,0,0,20,Wolfsburg,Volkswagen Arena 
2020,bl1,2020-09-25 20:30:00,2020-09-25 18:30:00+00:00,2,54,Hertha BSC,https://i.imgur.com/apFwbYZ.png,91,Eintracht Frankfurt,https://i.imgur.com/X8NFkOb.png,1,3,22,Berlin,Olympiastadion
2020,bl1,2020-09-26 15:30:00,2020-09-26 13:30:00+00:00,2,83,Arminia Bielefeld,https://upload.wikimedia.org/wikipedia/de/thumb/e/e5/Logo_Arminia_Bielefeld.svg/2000px-Logo_Arminia_Bielefeld.svg.png,65,1. FC Köln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,1,0,85,Bielefeld,Schüco Arena
2020,bl1,2020-09-26 15:30:00,2020-09-26 13:30:00+00:00,2,95,FC Augsburg,https://i.imgur.com/sdE62e2.png,7,Borussia Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,2,0,1029,Augsburg,WWK Arena
2020,bl1,2020-09-26 15:30:00,2020-09-26 13:30:00+00:00,2,6,Bayer Leverkusen,https://upload.wikimedia.org/wikipedia/de/thumb/f/f7/Bayer_Leverkusen_Logo.svg/1200px-Bayer_Leverkusen_Logo.svg.png,1635,RB Leipzig,https://i.imgur.com/Rpwsjz1.png,1,1,28,Leverkusen,BayArena
2020,bl1,2020-09-26 15:30:00,2020-09-26 13:30:00+00:00,2,87,Borussia Mönchengladbach,https://i.imgur.com/KSIk0Eu.png,80,1. FC Union Berlin,https://upload.wikimedia.org/wikipedia/commons/4/44/1._FC_Union_Berlin_Logo.svg,1,1,32,Mönchengladbach,Borussia Park
2020,bl1,2020-09-26 15:30:00,2020-09-26 13:30:00+00:00,2,81,1. FSV Mainz 05,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1200px-Logo_Mainz_05.svg.png,16,VfB Stuttgart,https://i.imgur.com/v0tkpNx.png,1,4,429,Mainz,Coface-Arena
2020,bl1,2020-09-26 18:30:00,2020-09-26 16:30:00+00:00,2,9,FC Schalke 04,https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg,134,Werder Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/681px-SV-Werder-Bremen-Logo.svg.png,1,3,33,Gelsenkirchen,Veltins Arena
2020,bl1,2020-09-27 15:30:00,2020-09-27 13:30:00+00:00,2,175,TSG 1899 Hoffenheim,https://i.imgur.com/gF0PfEl.png,40,FC Bayern München,https://i.imgur.com/jJEsJrj.png,4,1,188,Hoffenheim,Rhein-Neckar-Arena
2020,bl1,2020-09-27 18:00:00,2020-09-27 16:00:00+00:00,2,112,SC Freiburg,https://i.imgur.com/r3mvi0h.png,131,VfL Wolfsburg,https://i.imgur.com/ucqKV4B.png,1,1,966,Freiburg,Schwarzwald-Stadion
2020,bl1,2020-10-02 20:30:00,2020-10-02 18:30:00+00:00,3,80,1. FC Union Berlin,https://upload.wikimedia.org/wikipedia/commons/4/44/1._FC_Union_Berlin_Logo.svg,81,1. FSV Mainz 05,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/1200px-Logo_Mainz_05.svg.png,4,0,82,Berlin,Alte Försterei
2020,bl1,2020-10-03 15:30:00,2020-10-03 13:30:00+00:00,3,7,Borussia Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/560px-Borussia_Dortmund_logo.svg.png,112,SC Freiburg,https://i.imgur.com/r3mvi0h.png,4,0,184,Dortmund,Signal-Iduna-Park
2020,bl1,2020-10-03 15:30:00,2020-10-03 13:30:00+00:00,3,91,Eintracht Frankfurt,https://i.imgur.com/X8NFkOb.png,175,TSG 1899 Hoffenheim,https://i.imgur.com/gF0PfEl.png,2,1,,,
2020,bl1,2020-10-03 15:30:00,2020-10-03 13:30:00+00:00,3,65,1. FC Köln,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/1200px-FC_Cologne_logo.svg.png,87,Borussia Mönchengladbach,https://i.imgur.com/KSIk0Eu.png,1,3,,,
2020,bl1,2020-10-03 15:30:00,2020-10-03 13:30:00+00:00,3,16,VfB Stuttgart,https://i.imgur.com/v0tkpNx.png,6,Bayer Leverkusen,https://upload.wikimedia.org/wikipedia/de/thumb/f/f7/Bayer_Leverkusen_Logo.svg/1200px-Bayer_Leverkusen_Logo.svg.png,1,1,,,
